date,ERA5,ACCESS.ESM1.5,BCC.CSM2.MR,CanESM5,GFDL.ESM4,IPSL.CM6A.LR,MIROC6,MRI.ESM2.0,NorESM2.LM
2011-12-01,69768.4216414442,63801.9236037121,68558.8680666323,70118.7009747973,63293.7371209697,75814.7356712171,62268.6653357765,68515.8516077494,60483.6668847936
2012-01-01,60518.0815361539,59604.7916708713,54829.4919439134,76755.2224789364,82844.5358096791,63258.4597671195,71004.744758995,58378.6219151704,69607.1761668733
2012-02-01,57712.6123704311,53460.1891390068,58781.4979282104,55397.6930659069,63952.9998134801,57204.0006323289,62090.095455338,57210.0299245217,57801.9593008894
2012-03-01,43027.5483374568,48716.9269559335,48438.2229636399,51198.5804561892,57732.8618525697,47616.6377014866,49630.4668221983,57667.889868845,50625.0844344633
2012-04-01,61399.4288104931,58589.6482140719,64583.0563670036,67379.1691322205,67182.7029449207,57129.5850076846,69814.0274791234,67238.4771575454,72930.9298266481
2012-05-01,63368.1120671861,61715.1107118513,86551.1424403971,51306.3953907816,87305.6515821531,60349.319275517,69557.4068035841,91088.4393277617,87291.1561947679
2012-06-01,58395.4018840863,64202.6611976599,60912.6165697575,57140.5356331667,60253.2368420185,64329.742065206,70716.6660127776,60033.6655763236,60717.5980911626
2012-07-01,55270.0181690928,58445.2082914083,61804.7313096218,62463.3799579193,61584.9940566618,62509.1544877361,60505.6859777002,61473.0198384829,60088.6758836938
2012-08-01,71599.6696508403,72625.7141216662,69436.0947446245,68998.0733945727,67151.2158151302,72081.1759337365,66626.9766226811,68368.4942632459,64532.9817565705
2012-09-01,78409.617706704,75185.3211810149,61149.6539214097,81106.0721585539,85054.8600278611,69806.4361451263,88543.4272681126,97120.6419471904,63801.0460428826
2012-10-01,99942.0458995921,92534.1273177501,68519.2994410971,77078.7069487752,83579.0349862222,79014.2650388686,64954.6246949163,58876.2653536169,60453.1939248166
2012-11-01,100968.149799175,80371.9616251873,52691.2142465416,62477.8280348051,66522.6009966666,85810.5088778004,84275.1606649097,82901.981209234,61990.3287381906
2012-12-01,90978.9428481122,72857.6026761258,85671.4420632586,74008.7191476713,76895.330628161,84219.3602634772,85012.0466738593,76994.2933952734,81988.5504514844
2013-01-01,69277.6715723285,64860.8971772472,63553.0719782237,72531.9040017958,60516.9901095819,65430.1726923264,81723.4237569193,62645.0014680701,62336.6399310148
2013-02-01,61193.9393280969,75239.7179626867,65494.3015391779,60559.6300279176,58531.4715177799,58003.0082569813,63271.7548061474,60701.9153839578,59567.1935127767
2013-03-01,74818.2473135574,71013.2582239605,74646.356738688,57766.7012047696,49143.9628607573,55999.3529154648,63189.8543622329,62427.8786891588,50471.8964050292
2013-04-01,54056.9122376898,73078.3845946049,52335.197235679,73811.9525129493,60516.9901095819,54896.4257359651,66156.4372931683,61873.8730503371,64104.7646603106
2013-05-01,68557.8165776121,67287.2472128381,54622.7286597963,67437.3402021609,80085.6483155107,67582.1526664869,70050.9486458272,76469.0904099431,77921.5694791408
2013-06-01,53242.0560340286,63120.0408013396,61847.0344867017,56873.2913899162,62350.2473205513,63329.0583962553,67711.1954073428,57402.6441485662,63096.190848967
